src,dst,baseline_success,baseline_slip,slil_success,slil_slip,b_path,s_path,improvement
A0,A1,0.8,0.03162761350292058,0.95,0.021972470756638184,"['A0', 'A5', 'A1']","['A0', 'A5', 'A1']",0.1499999999999999
A0,A2,0.9,0.04783818678029403,0.8,0.04480696623767473,"['A0', 'A5', 'A1', 'A9', 'A2']","['A0', 'A5', 'A1', 'A9', 'A2']",-0.09999999999999998
A0,A3,0.85,0.03678088015562542,0.8,0.05166627569236952,"['A0', 'A5', 'A1', 'A3']","['A0', 'A5', 'A1', 'A9', 'A2', 'A3']",-0.04999999999999993
A0,A4,0.9,0.042831855880522955,0.6,0.0327641981785323,"['A0', 'A5', 'A8', 'A4']","['A0', 'A5', 'A1', 'A9', 'A4']",-0.30000000000000004
A0,A5,0.95,0.012720942435949064,1.0,0.014058266165772585,"['A0', 'A5']","['A0', 'A5']",0.050000000000000044
A0,A6,0.55,0.050723017622747335,0.8,0.0589297020283804,"['A0', 'A5', 'A8', 'A6']","['A0', 'A5', 'A1', 'A9', 'A2', 'A6']",0.25
A0,A7,0.85,0.04640679509098389,0.8,0.044028737013433863,"['A0', 'A5', 'A1', 'A9', 'A7']","['A0', 'A5', 'A1', 'A9', 'A7']",-0.04999999999999993
A0,A8,0.8,0.03649076788750421,0.7,0.07910973976215159,"['A0', 'A5', 'A8']","['A0', 'A5', 'A1', 'A9', 'A6', 'A8']",-0.10000000000000009
A0,A9,0.85,0.03304227463604265,0.8,0.027004562537176098,"['A0', 'A5', 'A1', 'A9']","['A0', 'A5', 'A1', 'A9']",-0.04999999999999993
A1,A2,0.8,0.018697867862847037,0.7,0.019328827785453945,"['A1', 'A9', 'A2']","['A1', 'A9', 'A2']",-0.10000000000000009
A1,A3,0.65,0.021313690898851614,0.85,0.025945297540329128,"['A1', 'A3']","['A1', 'A9', 'A2', 'A3']",0.19999999999999996
A1,A4,0.85,0.00837980762451195,0.65,0.009875556239157436,"['A1', 'A9', 'A4']","['A1', 'A9', 'A4']",-0.19999999999999996
A1,A5,0.8,0.03069919424471034,0.6,0.05786051943449288,"['A1', 'A9', 'A7', 'A5']","['A1', 'A9', 'A6', 'A8', 'A0', 'A5']",-0.20000000000000007
A1,A6,0.4,0.050281046274318196,0.8,0.026498072766525882,"['A1', 'A9', 'A4', 'A8', 'A6']","['A1', 'A9', 'A2', 'A6']",0.4
A1,A7,0.85,0.01642894409612627,0.9,0.023631602525556537,"['A1', 'A9', 'A7']","['A1', 'A9', 'A7']",0.050000000000000044
A1,A8,0.7,0.018123855375546432,0.65,0.04914718634860649,"['A1', 'A9', 'A4', 'A8']","['A1', 'A9', 'A2', 'A6', 'A8']",-0.04999999999999993
A1,A9,0.8,0.002755932219668757,0.95,0.004263601141793214,"['A1', 'A9']","['A1', 'A9']",0.1499999999999999
A2,A3,1.0,0.005333285374728504,0.9,0.004166750034604036,"['A2', 'A3']","['A2', 'A3']",-0.09999999999999998
A2,A4,0.7,0.025444359788178626,0.55,0.03374525036919556,"['A2', 'A8', 'A4']","['A2', 'A5', 'A1', 'A9', 'A4']",-0.1499999999999999
A2,A5,0.85,0.020515027259219675,0.85,0.048145350746218306,"['A2', 'A5']","['A2', 'A6', 'A8', 'A0', 'A5']",0.0
A2,A6,0.7,0.0336230651827711,0.7,0.04403800971484617,"['A2', 'A8', 'A6']","['A2', 'A5', 'A1', 'A9', 'A6']",0.0
A2,A7,0.75,0.05959992104779832,0.8,0.03451917174900379,"['A2', 'A8', 'A4', 'A9', 'A7']","['A2', 'A5', 'A1', 'A9', 'A7']",0.050000000000000044
A2,A8,0.9,0.00855232004620246,0.65,0.07126625578443903,"['A2', 'A8']","['A2', 'A5', 'A1', 'A9', 'A6', 'A8']",-0.25
A2,A9,0.6,0.03973794697120719,0.6,0.03843471392542294,"['A2', 'A8', 'A4', 'A9']","['A2', 'A5', 'A1', 'A9']",0.0
A3,A4,0.75,0.011828844253378434,0.65,0.04510773924352422,"['A3', 'A4']","['A3', 'A9', 'A2', 'A6', 'A8', 'A4']",-0.09999999999999998
A3,A5,0.95,0.03945616887661082,0.6,0.06717284985565856,"['A3', 'A9', 'A7', 'A5']","['A3', 'A9', 'A6', 'A8', 'A0', 'A5']",-0.35
A3,A6,0.7,0.056809532441128366,0.8,0.0426871581791535,"['A3', 'A4', 'A8', 'A6']","['A3', 'A9', 'A2', 'A6']",0.10000000000000009
A3,A7,0.9,0.02057702595461816,0.9,0.045275971756206145,"['A3', 'A9', 'A7']","['A3', 'A4', 'A9', 'A7']",0.0
A3,A8,0.9,0.03000301610632005,0.9,0.04267210027737151,"['A3', 'A4', 'A8']","['A3', 'A9', 'A2', 'A6', 'A8']",0.0
A3,A9,0.95,0.007090804507701001,0.65,0.026611999546455305,"['A3', 'A9']","['A3', 'A4', 'A1', 'A9']",-0.29999999999999993
A4,A5,0.7,0.0309134074014419,0.65,0.06247096348146823,"['A4', 'A9', 'A7', 'A5']","['A4', 'A9', 'A6', 'A8', 'A0', 'A5']",-0.04999999999999993
A4,A6,0.7,0.03632225655675412,0.75,0.044098536578443766,"['A4', 'A8', 'A6']","['A4', 'A9', 'A2', 'A6']",0.050000000000000044
A4,A7,0.85,0.02648269815847355,0.7,0.04280351998037362,"['A4', 'A9', 'A7']","['A4', 'A9', 'A7']",-0.15000000000000002
A4,A8,0.95,0.009953554574083683,0.9,0.05660017011969801,"['A4', 'A8']","['A4', 'A9', 'A2', 'A6', 'A8']",-0.04999999999999993
A4,A9,0.9,0.01940438437873826,0.8,0.04354954042738205,"['A4', 'A9']","['A4', 'A8', 'A0', 'A5', 'A1', 'A9']",-0.09999999999999998
A5,A6,0.75,0.05450271954674938,0.65,0.03646711515398856,"['A5', 'A8', 'A6']","['A5', 'A1', 'A9', 'A2', 'A6']",-0.09999999999999998
A5,A7,0.9,0.02636744911601179,0.75,0.027423702560688327,"['A5', 'A1', 'A9', 'A7']","['A5', 'A1', 'A9', 'A7']",-0.15000000000000002
A5,A8,0.85,0.014070142809504908,0.55,0.05720785957354371,"['A5', 'A8']","['A5', 'A1', 'A9', 'A2', 'A6', 'A8']",-0.29999999999999993
A5,A9,0.95,0.00947806708672081,0.9,0.007122813779869938,"['A5', 'A1', 'A9']","['A5', 'A1', 'A9']",-0.04999999999999993
A6,A7,0.95,0.0470638599085685,0.6,0.06703177976173429,"['A6', 'A4', 'A9', 'A7']","['A6', 'A8', 'A4', 'A9', 'A7']",-0.35
A6,A8,1.0,0.0190616076107994,0.65,0.05372434680875225,"['A6', 'A8']","['A6', 'A4', 'A9', 'A7', 'A5', 'A8']",-0.35
A6,A9,1.0,0.027798085355905104,0.65,0.0657199642426603,"['A6', 'A4', 'A9']","['A6', 'A8', 'A0', 'A5', 'A1', 'A9']",-0.35
A7,A8,0.9,0.036188503646025244,0.45,0.04289129418930176,"['A7', 'A5', 'A8']","['A7', 'A5', 'A1', 'A9', 'A6', 'A8']",-0.45
A7,A9,0.75,0.021292428885473454,0.95,0.021715829830301535,"['A7', 'A5', 'A1', 'A9']","['A7', 'A5', 'A1', 'A9']",0.19999999999999996
A8,A9,0.9,0.03198580201121084,0.9,0.028638508839546724,"['A8', 'A4', 'A9']","['A8', 'A0', 'A5', 'A1', 'A9']",0.0
